Head,Account,Type,Sub-head (Code),Sub-head,ExpenditureComponent
22,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
22,Capital Account,"Plant, Equipment and Works",603,"Plant, vehicles and equipment",Departmental Expenses
22,Capital Account,"Plant, Equipment and Works",609,Minor irrigation works in the New Territories (block vote),Departmental Expenses
22,Capital Account,"Plant, Equipment and Works",610,Minor recreational facilities and roadworks in country parks (block vote),Departmental Expenses
22,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
23,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
25,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
26,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
27,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
28,Operating Account,Recurrent,170,Airport insurance,Other Charges
28,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
30,Operating Account,Recurrent,118,Provisions for institutions,Departmental Expenses
30,Operating Account,Recurrent,193,Earnings scheme for persons in custody,Other Charges
30,Capital Account,"Plant, Equipment and Works",603,"Plant, vehicles and equipment",Departmental Expenses
30,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
31,Operating Account,Recurrent,103,Rewards and special services,Other Charges
31,Operating Account,Recurrent,,Seizure management,Departmental Expenses
31,Capital Account,"Plant, Equipment and Works",603,"Plant, vehicles and equipment",Departmental Expenses
31,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
33,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
33,Capital Account,"Plant, Equipment and Works",603,"Plant, vehicles and equipment",Departmental Expenses
33,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
37,Operating Account,Recurrent,3,Recoverable salaries and allowances (General),Personal Emoluments
37,Operating Account,Recurrent,,Deduct reimbursement,Personal Emoluments
37,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
37,Capital Account,"Plant, Equipment and Works",603,"Plant, vehicles and equipment",Departmental Expenses
37,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
37,Capital Account,Subventions,974,"Subvented institutions - maintenance, repairs, and minor improvements (block vote)",Subventions
37,Capital Account,Subventions,975,"Subvented institutions - minor plant, vehicles and equipment (block vote)",Subventions
39,Capital Account,"Plant, Equipment and Works",603,"Plant, vehicles and equipment",Departmental Expenses
39,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
42,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
42,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
42,Capital Account,"Plant, Equipment and Works",696,Energy saving projects in government buildings (block vote),Departmental Expenses
44,Operating Account,Recurrent,297,Fees for operation of waste management facilities,Departmental Expenses
44,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
44,Capital Account,"Plant, Equipment and Works",603,"Plant, vehicles and equipment",Departmental Expenses
44,Capital Account,"Plant, Equipment and Works",605,Minor capital works (block vote),Departmental Expenses
44,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
45,Capital Account,"Plant, Equipment and Works",603,"Plant, vehicles and equipment",Departmental Expenses
45,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
45,Capital Account,"Plant, Equipment and Works",690,Town ambulances (block vote),Departmental Expenses
46,Operating Account,Recurrent,1,Salaries,Personal Emoluments
46,Operating Account,Recurrent,6,Recoverable salaries and allowances (Companies Registry Trading Fund),Personal Emoluments
46,Operating Account,Recurrent,,Deduct reimbursement,Personal Emoluments
46,Operating Account,Recurrent,8,Recoverable salaries and allowances (Hong Kong Monetary Authority),Personal Emoluments
46,Operating Account,Recurrent,,Deduct reimbursement,Personal Emoluments
46,Operating Account,Recurrent,9,Recoverable salaries and allowances (Land Registry Trading Fund),Personal Emoluments
46,Operating Account,Recurrent,,Deduct reimbursement,Personal Emoluments
46,Operating Account,Recurrent,81,Recoverable salaries and allowances (Office of the Communications Authority Trading Fund),Personal Emoluments
46,Operating Account,Recurrent,,Deduct reimbursement,Personal Emoluments
46,Operating Account,Recurrent,82,Recoverable salaries and allowances (Post Office Trading Fund),Personal Emoluments
46,Operating Account,Recurrent,,Deduct reimbursement,Personal Emoluments
46,Operating Account,Recurrent,83,Recoverable salaries and allowances (Electrical and Mechanical Services Trading Fund),Personal Emoluments
46,Operating Account,Recurrent,,Deduct reimbursement,Personal Emoluments
46,Operating Account,Recurrent,84,Recoverable salaries and allowances (Legal Aid Services Council),Personal Emoluments
46,Operating Account,Recurrent,,Deduct reimbursement,Personal Emoluments
46,Operating Account,Recurrent,10,Recruiting expenses,Personnel Related Expenses
46,Operating Account,Recurrent,11,Civil service examinations,Personnel Related Expenses
46,Operating Account,Recurrent,13,Personal allowances,Personal Emoluments
46,Operating Account,Recurrent,14,Home purchase allowance,Personal Emoluments
46,Operating Account,Recurrent,20,Payments to estates of deceased officers,Subventions
46,Operating Account,Recurrent,22,Passages,Personal Emoluments
46,Operating Account,Recurrent,23,Quartering,Personal Emoluments
46,Operating Account,Recurrent,24,Staff relief and welfare,Personal Emoluments
46,Operating Account,Recurrent,25,Long and Meritorious Service Travel Award Scheme,Personal Emoluments
46,Operating Account,Recurrent,28,Legal assistance,Personal Emoluments
46,Operating Account,Recurrent,32,Accommodation allowance,Personal Emoluments
46,Operating Account,Recurrent,33,Home financing allowance,Personal Emoluments
46,Operating Account,Recurrent,37,Pensioners' welfare fund,Personal Emoluments
46,Operating Account,Recurrent,38,Private tenancy allowance,Personal Emoluments
46,Operating Account,Recurrent,39,Rent allowance,Personal Emoluments
46,Operating Account,Recurrent,40,Non-accountable cash allowance,Personal Emoluments
46,Operating Account,Recurrent,41,Mandatory Provident Fund contribution,Personal Emoluments
46,Operating Account,Recurrent,42,Civil Service Provident Fund contribution,Personal Emoluments
47,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
47,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
48,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
49,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
49,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
51,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
53,Operating Account,Recurrent,3,Recoverable salaries and allowances (General),Personal Emoluments
53,Operating Account,Recurrent,,Deduct reimbursement,Personal Emoluments
53,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
53,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
53,Capital Account,Subventions,88J,Youth Hostel Scheme (block vote),Subventions
59,Operating Account,Recurrent,3,Recoverable salaries and allowances (General),Personal Emoluments
59,Operating Account,Recurrent,,Deduct reimbursement,Personal Emoluments
59,Operating Account,Recurrent,224,Motor Insurers' Bureau - government contribution,Other Charges
59,Operating Account,Recurrent,225,Traffic Accident Victims Assistance Scheme - levies,Subventions
59,Operating Account,Recurrent,226,Allocated stores: local landing charges,Other Charges
59,Operating Account,Recurrent,267,Unallocated stores: suspense account adjustment,Other Charges
59,Capital Account,"Plant, Equipment and Works",603,"Plant, vehicles and equipment",Departmental Expenses
59,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
59,Capital Account,"Plant, Equipment and Works",691,General purpose vehicles (block vote),Departmental Expenses
60,Operating Account,Recurrent,272,Electricity for public lighting,Departmental Expenses
60,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
60,Capital Account,"Plant, Equipment and Works",603,"Plant, vehicles and equipment",Departmental Expenses
60,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
62,Operating Account,Recurrent,3,Recoverable salaries and allowances (General),Personal Emoluments
62,Operating Account,Recurrent,,Deduct reimbursement,Personal Emoluments
62,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
62,Capital Account,"Plant, Equipment and Works",,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
63,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
63,Capital Account,"Plant, Equipment and Works",654,Local public works (block vote),Departmental Expenses
63,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
70,Operating Account,Recurrent,202,Repatriation expenses,Departmental Expenses
70,Capital Account,"Plant, Equipment and Works",603,"Plant, vehicles and equipment",Departmental Expenses
70,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
72,Operating Account,Recurrent,103,Rewards and special services,Other Charges
72,Operating Account,Recurrent,203,"Expenses of witnesses, suspects and detainees",Other Charges
72,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
72,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
74,Capital Account,"Plant, Equipment and Works",,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
76,Operating Account,Recurrent,189,Interest on tax reserve certificates,Other Charges
76,Operating Account,Recurrent,209,Special legal expenses,Departmental Expenses
80,Operating Account,Recurrent,206,Expenses of witnesses and jurors,Other Charges
80,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
82,Operating Account,Recurrent,227,Payment for Land Registry/Companies Registry Trading Fund services,Departmental Expenses
90,Operating Account,Recurrent,276,Implementation of the Reimbursement of Maternity Leave Pay Scheme,Other Charges
90,Operating Account,Recurrent,280,Contribution to the Occupational Safety and Health Council,Other Charges
